0,1,2,3,4,5,6
Date,Narration,Chq. / Ref No.,Value Date,Withdrawal Amount,Deposit Amount,Closing Balance*
01/01/2024,YHDF2189589556/BILLDKMIDC,240018906098,01/01/2024,"6,112.80",0.00,"1,57,550.63"
01/01/2024,"IB FUNDS TRANSFER DR-50200081764856 -SHR
EE SAMARTH ENGINEERING",IB01061447883245,01/01/2024,"1,20,000.00",0.00,"37,550.63"
02/01/2024,BAJAJFIN_BF191023_489-274_60711701,,02/01/2024,"61,663.00",0.00,"-24,112.37"
02/01/2024,BAJAJFIN_BF191023_489-274_60711701,,02/01/2024,0.00,"61,663.00","37,550.63"
02/01/2024,"CASH DEPOSIT BY - SELF - AMBERNATH ADDIT
IONAL MIDC",,02/01/2024,0.00,"1,70,000.00","2,07,550.63"
03/01/2024,BAJAJFIN_BF191023_489-274_61848833,,03/01/2024,"61,663.00",0.00,"1,45,887.63"
03/01/2024,"GST/BANK REFERENCE NO: R2400350256527/CI
N NO: HDFC24012700026040",240103270005484,03/01/2024,"2,202.00",0.00,"1,43,685.63"
04/01/2024,"UPI-ISLAM MOHDJAGGI KHAN-ISLAM.KGN.BRASS
675-1@OKICICI-KKBK0000662-400433476605-U
PI",400433476605,04/01/2024,"10,000.00",0.00,"1,33,685.63"
04/01/2024,"UPI-JIO PREPAID RECHARGE-PAYTM-JIOMOBILI
TY@PAYTM-PYTM0123456-400439134998-UPI",400439134998,04/01/2024,"2,999.00",0.00,"1,30,686.63"
04/01/2024,"IB FUNDS TRANSFER CR-50200081764856 -SHR
EE SAMARTH ENGINEERING",IB04174001452971,04/01/2024,0.00,"2,22,380.00","3,53,066.63"
04/01/2024,"NEFT CHGS BRN INCL GST 261223-CDT2400221
070242",CDT2400221070242,04/01/2024,2.36,0.00,"3,53,064.27"
04/01/2024,".IMPS P2P 336113154413#27/12/2023 271223
-CDT2400221070242",CDT2400221070242,04/01/2024,5.90,0.00,"3,53,058.37"
04/01/2024,".IMPS P2P 336219141647#28/12/2023 281223
-CDT2400221070242",CDT2400221070242,04/01/2024,5.90,0.00,"3,53,052.47"
05/01/2024,"IB FUNDS TRANSFER CR-50200081764856 -SHR
EE SAMARTH ENGINEERING",IB05073642836091,05/01/2024,0.00,"37,00,000.00","40,53,052.47"
05/01/2024,258131907/AIRPAYSHRIRAM,240051384049,05/01/2024,"2,22,380.00",0.00,"38,30,672.47"
05/01/2024,"NEFT DR-KKBK0002040-GADA COMPUTERS-AMBER
NATH AD-N005242817600947",000000000148,05/01/2024,"34,000.00",0.00,"37,96,672.47"
05/01/2024,"NEFT DR-KKBK0000658-AARON ISPAT-AMBERNAT
H AD-N005242817587763",000000000147,05/01/2024,"1,24,614.00",0.00,"36,72,058.47"
05/01/2024,"NEFT DR-IBKL0000457-A S ENGINEERS AND FA
BRICATORS-AMBERNATH AD-N005242817595045",000000000152,05/01/2024,"1,00,000.00",0.00,"35,72,058.47"
05/01/2024,"NEFT DR-UBIN0911372-MUDRA PRINTS-AMBERNA
TH AD-N005242817593878",000000000145,05/01/2024,"3,00,000.00",0.00,"32,72,058.47"
05/01/2024,"NEFT DR-ICIC0001887-TAHA INTERNATIONAL-A
MBERNATH AD-N005242817596985",000000000153,05/01/2024,"12,148.00",0.00,"32,59,910.47"
05/01/2024,"RTGS DR-KKBK0000627-P S ENGINEERING AND
SERVICES-AMBERNATH - -HDFCR5202401056838
2898",000000000149,05/01/2024,"7,54,510.00",0.00,"25,05,400.47"
05/01/2024,"RTGS DR-CBIN0280638-P S ENTERPRISES-AMBE
RNATH - -HDFCR52024010568469971",000000000146,05/01/2024,"10,00,000.00",0.00,"15,05,400.47"
06/01/2024,"EMI 133061139 CHQ S1330611390161 0124133
061139",,06/01/2024,"53,419.00",0.00,"14,51,981.47"
06/01/2024,"CASH DEPOSIT BY - AKSHAY - AMBERNATH ADD
ITIONAL MIDC",,06/01/2024,0.00,"70,000.00","15,21,981.47"
08/01/2024,"IMPS-400810380340-MECHGENIUS ENTERPRIS-I
CIC-XXXXXXXX0417-C401BLISSEMIDEC",400810380340,08/01/2024,0.00,"17,273.00","15,39,254.47"
09/01/2024,YHDF2198581629/BILLDKTATACAPITALFIN,240093548998,09/01/2024,"73,028.00",0.00,"14,66,226.47"
09/01/2024,"FT - DR - 50200070902282 - ABS CERTIFICA
TIONS INDIA PVT LTD",000000000155,09/01/2024,"48,100.00",0.00,"14,18,126.47"
09/01/2024,"NEFT DR-UBIN0532011-RAMCHAL NDT SERVICES
-AMBERNATH AD-N009242826956730",000000000168,09/01/2024,"9,440.00",0.00,"14,08,686.47"
09/01/2024,"NEFT DR-UTIB0001963-AVINASH GAIKWAD-AMBE
RNATH AD-N009242826953037",000000000177,09/01/2024,"17,820.00",0.00,"13,90,866.47"
09/01/2024,"IMPS-400918117913-CHETAN SURESH CHAVAN-I
BKL-XXXXXXXXXXXX2273-MOHAN JYOT CIVIL WO
RK",400918117913,09/01/2024,"50,000.00",0.00,"13,40,866.47"
09/01/2024,"50200005047392-TPT-INVOICE PAYMENT-TARAC
HAND MANRUPJI KHANDELWAL",000275881457,09/01/2024,"1,00,000.00",0.00,"12,40,866.47"
10/01/2024,CHQ PAID-MICR CTS-MU-ASIAN MANAGEMENT SE,000000000156,10/01/2024,"39,000.00",0.00,"12,01,866.47"
10/01/2024,ACH D- LICHOUSINGFINANCELTD-610900012175,008027595010,10/01/2024,"17,273.00",0.00,"11,84,593.47"
10/01/2024,ACH D- TP ACH ABL-1099215549,009360097931,10/01/2024,"35,531.00",0.00,"11,49,062.47"
